seed,method,condition,alpha,classifier,auc_roc,f1_minority,avg_precision
7,CTGAN,augmented,0.1,MLP,0.9798562353727851,0.35294117647058826,0.4477717391304347
7,CTGAN,augmented,0.2,GBC,0.9852056168505516,0.25,0.3626803118908382
7,CTGAN,augmented,0.2,LR,0.9841190237378803,0.2222222222222222,0.34672014529351486
7,CTGAN,augmented,0.2,RF,0.9789786024740889,0.0,0.16039715188651357
7,CTGAN,augmented,0.2,MLP,0.9783517218321632,0.4,0.3779409692871231
7,CTGAN,augmented,0.3,GBC,0.9866265463055834,0.3333333333333333,0.3534832451499118
7,CTGAN,augmented,0.3,LR,0.9828652624540287,0.23529411764705882,0.33256505212514637
7,CTGAN,augmented,0.3,RF,0.9824473420260782,0.0,0.18342637307712906
7,CTGAN,augmented,0.3,MLP,0.9822801738548981,0.27586206896551724,0.5079365079365079
7,CTGAN,augmented,0.5,GBC,0.9869608826479439,0.0,0.18744588744588747
7,CTGAN,augmented,0.5,LR,0.9837011033099299,0.16,0.309638640626724
7,CTGAN,augmented,0.5,RF,0.9783517218321631,0.0,0.16396408228011083
7,CTGAN,augmented,0.5,MLP,0.9794383149448345,0.25,0.33481413738314303
7,CTGAN,augmented,1.0,GBC,0.9869608826479439,0.26666666666666666,0.20360811143771018
7,CTGAN,augmented,1.0,LR,0.9834503510531595,0.14925373134328357,0.32409975082388875
7,CTGAN,augmented,1.0,RF,0.9818204613841524,0.15384615384615385,0.14554713332085595
7,CTGAN,augmented,1.0,MLP,0.9522734871280508,0.2857142857142857,0.459781998098695
7,SMOTE,augmented,0.1,GBC,0.9804413239719157,0.35294117647058826,0.3708333333333333
7,SMOTE,augmented,0.1,LR,0.9898027415580073,0.24390243902439024,0.3376174561658432
7,SMOTE,augmented,0.1,RF,0.9850802407221664,0.36363636363636365,0.3841919191919192
7,SMOTE,augmented,0.1,MLP,0.914577064526914,0.0,0.026466980489968997
7,SMOTE,augmented,0.2,GBC,0.9848712805081913,0.2727272727272727,0.37286632341410186
7,SMOTE,augmented,0.2,LR,0.989551989301237,0.12195121951219512,0.34520676691729324
7,SMOTE,augmented,0.2,RF,0.9014543630892679,0.46153846153846156,0.43138235294117644
7,SMOTE,augmented,0.2,MLP,0.9219324640588431,0.0,0.03012005613963835
7,SMOTE,augmented,0.3,GBC,0.9866265463055834,0.25,0.37798452714419095
7,SMOTE,augmented,0.3,LR,0.9900534938147777,0.10714285714285714,0.3733024855511825
7,SMOTE,augmented,0.3,RF,0.9839518555667002,0.42857142857142855,0.5121295531700156
7,SMOTE,augmented,0.3,MLP,0.9311267134737546,0.0,0.03438851175243313
7,SMOTE,augmented,0.5,GBC,0.9826980942828485,0.23076923076923078,0.4403085177733065
7,SMOTE,augmented,0.5,LR,0.989551989301237,0.075,0.3564814814814815
7,SMOTE,augmented,0.5,RF,0.981360748913407,0.42857142857142855,0.5203077284472634
7,SMOTE,augmented,0.5,MLP,0.9546974256101638,0.2608695652173913,0.19603058163797601
7,SMOTE,augmented,1.0,GBC,0.9835339351387496,0.1935483870967742,0.537439249203955
7,SMOTE,augmented,1.0,LR,0.9892176529588765,0.055299539170506916,0.2737766550968798
7,SMOTE,augmented,1.0,RF,0.9843279839518556,0.42857142857142855,0.5230782949884073
7,SMOTE,augmented,1.0,MLP,0.9615513206285524,0.25,0.27240564740564743
2024,Baseline,real_only,0.0,GBC,0.5670175438596491,0.2857142857142857,0.10806457983833018
2024,Baseline,real_only,0.0,LR,0.9921804511278196,0.0,0.34627659574468084
2024,Baseline,real_only,0.0,RF,0.9895238095238096,0.0,0.4697330447330447
2024,Baseline,real_only,0.0,MLP,0.0205513784461153,0.0,0.001519276967875043
2024,GaussianCopula,augmented,0.1,GBC,0.9165914786967418,0.2,0.05404633200171986
2024,GaussianCopula,augmented,0.1,LR,0.9920802005012531,0.0,0.3458333333333333
2024,GaussianCopula,augmented,0.1,RF,0.9885714285714285,0.0,0.41360983102918586
2024,GaussianCopula,augmented,0.1,MLP,0.013132832080200506,0.0,0.001512573433792492
2024,GaussianCopula,augmented,0.2,GBC,0.43358395989974935,0.25,0.07011240826491243
2024,GaussianCopula,augmented,0.2,LR,0.9923809523809524,0.0,0.2764750957854406
2024,GaussianCopula,augmented,0.2,RF,0.9897744360902255,0.0,0.3262976860537836
2024,GaussianCopula,augmented,0.2,MLP,0.02125313283208017,0.0,0.0015189048198301107
2024,GaussianCopula,augmented,0.3,GBC,0.4154385964912281,0.0,0.0044242206820071395
2024,GaussianCopula,augmented,0.3,LR,0.9921804511278195,0.0,0.23819171138938583
2024,GaussianCopula,augmented,0.3,RF,0.9909774436090225,0.0,0.30633932277767895
2024,GaussianCopula,augmented,0.3,MLP,0.017243107769423546,0.0,0.0015151223356848916
2024,GaussianCopula,augmented,0.5,GBC,0.5650125313283207,0.0,0.008488856489130413
2024,GaussianCopula,augmented,0.5,LR,0.9912781954887218,0.0,0.2136999147485081
2024,GaussianCopula,augmented,0.5,RF,0.9911779448621554,0.0,0.29198863636363637
2024,GaussianCopula,augmented,0.5,MLP,0.024862155388471162,0.0,0.0015219659985315384
2024,GaussianCopula,augmented,1.0,GBC,0.792982456140351,0.0,0.06461310230239733
2024,GaussianCopula,augmented,1.0,LR,0.9929824561403509,0.0,0.27920634920634924
2024,GaussianCopula,augmented,1.0,RF,0.9909774436090225,0.0,0.24515151515151518
2024,GaussianCopula,augmented,1.0,MLP,0.0329824561403509,0.0,0.001530024164965864
2024,CTGAN,augmented,0.1,GBC,0.9921804511278195,0.2222222222222222,0.20072708653353816
2024,CTGAN,augmented,0.1,LR,0.9945864661654136,0.4,0.25006734006734005
2024,CTGAN,augmented,0.1,RF,0.9877192982456139,0.0,0.18833333333333335
2024,CTGAN,augmented,0.1,MLP,0.9131829573934838,0.25,0.21394436785570684
