seed,method,condition,alpha,classifier,auc_roc,f1_minority,avg_precision
7,Baseline,real_only,0.0,LR,0.661423384502252,0.0,0.027033640704905
7,Baseline,real_only,0.0,RF,0.4179612096700064,0.0,0.0103874669507614
7,Baseline,real_only,0.0,MLP,0.4582337531023072,0.0,0.0116264347241131
7,GaussianCopula,augmented,0.1,GBC,0.615176027208383,0.0,0.0168167414115247
7,GaussianCopula,augmented,0.1,LR,0.6533114256825076,0.0,0.0252725889864383
7,GaussianCopula,augmented,0.1,RF,0.4704706314918651,0.0,0.0101116205944233
7,GaussianCopula,augmented,0.1,MLP,0.445273003033367,0.0,0.0104029903228753
7,GaussianCopula,augmented,0.2,GBC,0.5788905230260134,0.0,0.0154267368698775
7,GaussianCopula,augmented,0.2,LR,0.6456131078224102,0.0,0.024797152544391
7,GaussianCopula,augmented,0.2,RF,0.4505469252688666,0.0,0.0101540174888632
7,GaussianCopula,augmented,0.2,MLP,0.4444227410607592,0.0,0.0103584027921498
7,GaussianCopula,augmented,0.3,GBC,0.6044328522842173,0.0,0.0158023080967123
7,GaussianCopula,augmented,0.3,LR,0.6531046052026841,0.0,0.0245534259659918
7,GaussianCopula,augmented,0.3,RF,0.4284171339277507,0.0,0.0099877267318685
7,GaussianCopula,augmented,0.3,MLP,0.4480306094310139,0.0,0.0104028328134401
7,GaussianCopula,augmented,0.5,GBC,0.559472377975917,0.0,0.014428253240063
7,GaussianCopula,augmented,0.5,LR,0.6455671477157827,0.0,0.0229548480297894
7,GaussianCopula,augmented,0.5,RF,0.5223710819009099,0.0,0.0113289545122407
7,GaussianCopula,augmented,0.5,MLP,0.4466747862855041,0.0,0.010423983977128
7,GaussianCopula,augmented,1.0,GBC,0.56985936207372,0.0,0.0134912705576028
7,GaussianCopula,augmented,1.0,LR,0.6624574869013696,0.0,0.0243523028894496
7,GaussianCopula,augmented,1.0,RF,0.4431013879952201,0.0,0.0099289238390761
7,GaussianCopula,augmented,1.0,MLP,0.4521670190274842,0.0,0.0102171964180738
7,CTGAN,augmented,0.1,GBC,0.6081556209210406,0.0,0.017653589959027
7,CTGAN,augmented,0.1,LR,0.6589185586910562,0.0,0.0289097664328738
7,CTGAN,augmented,0.1,RF,0.5050441217023623,0.0,0.0108071239867197
7,CTGAN,augmented,0.1,MLP,0.4445836014339553,0.0,0.0103517448380418
7,CTGAN,augmented,0.2,GBC,0.6613084842356834,0.0,0.0209931560050909
7,CTGAN,augmented,0.2,LR,0.6615842448754481,0.0,0.0280943208490725
7,CTGAN,augmented,0.2,RF,0.4618301314459049,0.0,0.0103209129089957
7,CTGAN,augmented,0.2,MLP,0.4509950363084842,0.0,0.0104549467560776
7,CTGAN,augmented,0.3,GBC,0.6296189907160584,0.0,0.0176683504719381
7,CTGAN,augmented,0.3,LR,0.6701787848147808,0.0,0.0276999723814959
7,CTGAN,augmented,0.3,RF,0.4690918282930416,0.0,0.0104123547506582
7,CTGAN,augmented,0.3,MLP,0.4581418328890523,0.0,0.010532465725373
7,CTGAN,augmented,0.5,GBC,0.6360074455372737,0.0,0.019587676542633
7,CTGAN,augmented,0.5,LR,0.6710979869473297,0.0,0.0299460646755679
7,CTGAN,augmented,0.5,RF,0.4872575604375402,0.0,0.0108109462710141
7,CTGAN,augmented,0.5,MLP,0.4665065722952477,0.0,0.0105443407352526
7,CTGAN,augmented,1.0,GBC,0.6250344700799706,0.0,0.0190723225500347
7,CTGAN,augmented,1.0,LR,0.6753492968103687,0.0,0.0290297450539857
7,CTGAN,augmented,1.0,RF,0.4951052486441769,0.0,0.0103707187543181
7,CTGAN,augmented,1.0,MLP,0.521038238808714,0.0,0.0114894533061282
7,SMOTE,augmented,0.1,GBC,0.6494852468057726,0.0,0.0162490434609839
7,SMOTE,augmented,0.1,LR,0.5684001286882985,0.0,0.0152335316487885
7,SMOTE,augmented,0.1,RF,0.559713668535711,0.0363636363636363,0.013367352025741
7,SMOTE,augmented,0.1,MLP,0.6985131905506021,0.0,0.0215652555686572
7,SMOTE,augmented,0.2,GBC,0.6182553543524221,0.0,0.0147877591976554
7,SMOTE,augmented,0.2,LR,0.5786262524129057,0.0,0.0155348000382105
7,SMOTE,augmented,0.2,RF,0.5494645647577903,0.028169014084507,0.0128124056513248
7,SMOTE,augmented,0.2,MLP,0.6729823513190551,0.0158730158730158,0.0181176719633228
7,SMOTE,augmented,0.3,GBC,0.6178187333394614,0.0224719101123595,0.0154797303375264
7,SMOTE,augmented,0.3,LR,0.5914261421086497,0.0,0.0161476221469043
